layer,layer_display,method,method_display,storage_mode,wall_seconds,peak_rss_gib,read_mb,source_file
05a,05A quantizer I/O,Ours_RaBitQ_K1,Ours,payload_on_ssd,0.050773,7.62939453125e-06,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/export/Ours_RaBitQ_K1__payload_on_ssd__B2__c0__w1__r0.build_stats.json
05a,05A quantizer I/O,PQ_4bit,PQ,payload_on_ssd,0.05046,7.62939453125e-06,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/export/PQ_4bit__payload_on_ssd__B2__c0__w1__r0.build_stats.json
05a,05A quantizer I/O,SAQ_B4,SAQ,payload_on_ssd,0.101347,0.036869049072265625,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/export/SAQ_B4__payload_on_ssd__B2__c0__w1__r0.build_stats.json
05a,05A quantizer I/O,SQ_4bit,SQ,payload_on_ssd,0.050502,7.62939453125e-06,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/export/SQ_4bit__payload_on_ssd__B2__c0__w1__r0.build_stats.json
05b,05B shared graph,Ours-Disk,Ours-Disk,hybrid_disk,548.107659,4.8163604736328125,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05B_diskann_shared_graph/gist/artifacts/export/Ours-Disk__hybrid_disk__B2__standard__w1__r0.build_stats.json
05b,05B shared graph,PQ-DiskANN-Disk,PQ-DiskANN,hybrid_disk,1021.482632,10.12973403930664,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05B_diskann_shared_graph/gist/artifacts/export/PQ-DiskANN-Disk__hybrid_disk__B2__standard__w1__r0.build_stats.json
05b,05B shared graph,SAQ-DiskANN-Disk,SAQ-DiskANN,hybrid_disk,496.424129,4.118568420410156,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05B_diskann_shared_graph/gist/artifacts/export/SAQ-DiskANN-Disk__hybrid_disk__B2__standard__w1__r0.build_stats.json
05b,05B shared graph,SQ-DiskANN-Disk,SQ-DiskANN,hybrid_disk,16.70366,4.058582305908203,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05B_diskann_shared_graph/gist/artifacts/export/SQ-DiskANN-Disk__hybrid_disk__B2__standard__w1__r0.build_stats.json
05c,05C system,DiskANN-PQ-Disk,DiskANN-PQ,hybrid_disk,65.186608,3.618083953857422,229.03515625,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/export/DiskANN-PQ-Disk__hybrid_disk__B2__standard__w1__r0.build_stats.json
05c,05C system,Glass-NSG-DiskPort,Glass-NSG,hybrid_disk,98.413266,7.1840972900390625,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/export/Glass-NSG-DiskPort__hybrid_disk__B2__standard__w1__r0.build_stats.json
05c,05C system,OG-LVQ-DiskPort,OG-LVQ,hybrid_disk,5.177605,4.126609802246094,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/export/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w1__r0.build_stats.json
05c,05C system,Ours-Disk,Ours-Disk,hybrid_disk,539.791857,4.816463470458984,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/export/Ours-Disk__hybrid_disk__B2__standard__w1__r0.build_stats.json
05c,05C system,SymphonyQG-DiskPort,SymphonyQG,hybrid_disk,229.149943,33.901824951171875,0.0,results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05C_disk_system_fair/gist/artifacts/export/SymphonyQG-DiskPort__hybrid_disk__B2__standard__w1__r0.build_stats.json
