layer,dataset,method,storage_mode,phase,run_id,repeat_id,workers,search_dram_budget_gib,config_id,search_param,search_width,ablation,cache_mode,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,fixed_candidate_recall_at_10,mean_relative_error,p95_relative_error,pairwise_flip_rate,index_size_mb,resident_bytes,cache_bytes,cache_nodes,peak_rss_bytes,ours_4bit_payload_bytes,ours_8bit_payload_bytes,ours_adjacency_bytes,ours_fp32_base_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,source_suite,source_kernel,implementation_fingerprint,native_binary_sha256,input_manifest_sha256,source_index_manifest_sha256,query_split_sha256,query_order_sha256,query_order_seed,shared_graph_sha256,source_graph_sha256,graph_role,direct_io,native_aio,page_size,formal_ready,artifact_path,implementation_parity,git_commit,method_display
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=10,10,,standard,1,0.918875,51.7239,465015.0,391537.0,806038.0,2077840.0,,,,,629.711,8208,,,12304,,,,,717.21,717.21,2937690.0,457151.0,465015.0,0.132491,465015.0,0.0,15.3525,700.857,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=11,11,,standard,1,0.923125,55.585,426824.0,409244.0,695845.0,835592.0,,,,,629.711,8208,,,12304,,,,,749.117,749.117,3068390.0,418686.0,426824.0,0.129987,426824.0,0.0,16.3163,731.801,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=12,12,,standard,1,0.924875,56.7189,411589.0,395459.0,665790.0,774996.0,,,,,629.711,8208,,,12304,,,,,779.013,779.013,3190840.0,403180.0,411589.0,0.137834,411589.0,0.0,17.24,760.773,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=13,13,,standard,1,0.926875,53.3455,446201.0,431244.0,688022.0,867797.0,,,,,629.711,8208,,,12304,,,,,808.995,808.995,3313640.0,437371.0,446201.0,0.138322,446201.0,0.0,18.1775,789.817,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=14,14,,standard,1,0.931,53.2745,448887.0,432068.0,704196.0,852429.0,,,,,629.711,8208,,,12304,,,,,840.29,840.29,3441830.0,439807.0,448887.0,0.133815,448887.0,0.0,19.1625,820.128,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=15,15,,standard,1,0.932625,52.4933,456120.0,439288.0,693262.0,805655.0,,,,,629.711,8208,,,12304,,,,,870.388,870.388,3565110.0,446701.0,456120.0,0.132222,456120.0,0.0,20.115,849.273,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=16,16,,standard,1,0.93575,48.2869,510018.0,495587.0,809504.0,970330.0,,,,,629.711,8208,,,12304,,,,,900.342,900.342,3687800.0,500111.0,510018.0,0.16345,510018.0,0.0,21.0738,878.269,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=17,17,,standard,1,0.936875,48.4585,509423.0,490707.0,806268.0,987067.0,,,,,629.711,8208,,,12304,,,,,929.842,929.842,3808630.0,499243.0,509423.0,0.13205,509423.0,0.0,22.035,906.808,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=18,18,,standard,1,0.937375,47.2721,522879.0,506169.0,789524.0,930336.0,,,,,629.711,8208,,,12304,,,,,958.541,958.541,3926180.0,512295.0,522879.0,0.132075,522879.0,0.0,22.9812,934.56,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
05c,agnews,OG-LVQ-DiskPort,hybrid_disk,test,agnews_05c_rerun_20260901_152210,0.0,32,2.0,LVQ4_R64_W400,W=19,19,,standard,1,0.939,45.8796,544320.0,525999.0,820720.0,1041130.0,,,,,629.711,8208,,,12304,,,,,989.727,989.727,4053920.0,533329.0,544320.0,0.138351,544320.0,0.0,23.9763,964.751,,,,,,,800,03_system_fair,official SVS LVQ4 distance kernel,05c-og-lvq-svs-layout-native-odirect-v1,c5ae806ecc0b843514ced45ee2b2507e8a03956707086140d22939ddac12d7c6,fa6f6a857171b3d9d561fc50aab70e1ed195f30016c7985ed20812436804f610,7b41f41c83f779854b41e89b6f5dc3ec6baae2d9c30100edf78d128c7efa183a,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,c43f3255726fed92ee142584ccd3a88728861862cb38f7c3defce8669ea501e6,20260813.0,,,,True,True,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.formal_runs/runs/agnews_05c_rerun_20260901_152210/05C_disk_system_fair/agnews/artifacts/test/OG-LVQ-DiskPort__hybrid_disk__B2__standard__w32__r0.json,,,OG-LVQ
