layer,dataset,method,storage_mode,phase,run_id,repeat_id,workers,search_dram_budget_gib,config_id,search_param,search_width,ablation,cache_mode,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,fixed_candidate_recall_at_10,mean_relative_error,p95_relative_error,pairwise_flip_rate,index_size_mb,resident_bytes,cache_bytes,cache_nodes,peak_rss_bytes,ours_4bit_payload_bytes,ours_8bit_payload_bytes,ours_adjacency_bytes,ours_fp32_base_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,source_suite,source_kernel,implementation_fingerprint,native_binary_sha256,input_manifest_sha256,source_index_manifest_sha256,query_split_sha256,query_order_sha256,query_order_seed,shared_graph_sha256,source_graph_sha256,graph_role,direct_io,native_aio,page_size,formal_ready,artifact_path,method_display,layer_display
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k10,rerank_candidates=10,10,,c0,1,1.0,256441.358144,100.560879,89.81,112.016,632.935,1.0,0.0249584473096,0.0351930614628,0.137644444444,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,98.615596,0.0,1.807459,0.0,0.0,10.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k11,rerank_candidates=11,11,,c0,1,0.9451,239382.030501,107.776721,109.432,124.179,555.491,0.9451,0.0241057321958,0.0348033158115,0.137254545455,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,105.982979,0.0,1.660777,0.0,0.0,11.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k12,rerank_candidates=12,12,,c0,1,0.9157,231139.053254,112.704844,127.189,134.406,263.175,0.9157,0.0232749190988,0.034544043227,0.136409090909,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,111.043214,0.0,1.527032,0.0,0.0,12.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k13,rerank_candidates=13,13,,c0,1,0.8984,217753.437782,122.612384,134.443,145.955,314.692,0.8984,0.0226316825306,0.034404840431,0.136230769231,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,120.980117,0.0,1.503649,0.0,0.0,13.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k14,rerank_candidates=14,14,,c0,1,0.8898,203511.344028,131.109645,143.854,156.722,272.902,0.8898,0.0220539668635,0.0341646949858,0.135076923077,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,129.551432,0.0,1.434936,0.0,0.0,14.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k15,rerank_candidates=15,15,,c0,1,0.8839,193811.032305,139.810331,154.631,170.116,253.846,0.8839,0.0215106079293,0.0339548495306,0.133723809524,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,138.240523,0.0,1.443216,0.0,0.0,15.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k16,rerank_candidates=16,16,,c0,1,0.8791,183723.055866,149.095992,169.09,183.202,215.351,0.8791,0.0210030419711,0.0336812669789,0.132533333333,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,147.475002,0.0,1.499272,0.0,0.0,16.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k17,rerank_candidates=17,17,,c0,1,0.8762,174180.311807,158.24413,179.47,190.488,249.419,0.8762,0.0205622849568,0.0335278459774,0.132154411765,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,156.578386,0.0,1.537307,0.0,0.0,17.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k18,rerank_candidates=18,18,,c0,1,0.8742,165175.599005,167.268025,190.479,200.077,234.174,0.8742,0.0201714489381,0.0334419627065,0.131137254902,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,165.510754,0.0,1.626587,0.0,0.0,18.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
05a,gist,PQ_4bit,resident,test,gist_test_20260829_204245,0,32,2.0,fixed_candidates_k19,rerank_candidates=19,19,,c0,1,0.8724,156491.069602,177.967653,201.385,214.758,268.505,0.8724,0.0197753408353,0.0331443971033,0.131339181287,457.824241638,480002048,,,1460985856,,,,,0.0,0.0,0.0,0.0,176.101991,0.0,1.738922,0.0,0.0,19.0,,,,,,,1000,01_quantizer_fair,faiss::ProductQuantizer,05a-faiss-pq4-native-odirect-v1,b3e97b4e71dbf2d0553be4307d13f95e3c3df537147d5a1b5c5b0ff591393d18,ffc67dab09e9b01edefc1bc2f186a10d426ce6599531f0954be14881710ce5ca,07d438f07429c8f2458e827c8191ed2372b7aceaf52eee4ea7f7ffcf4ff084dd,55d659f16ae506e790d914053d78fec74699e80b47fe6d1fefd31f58b83ff6e9,b92fae6ca12d310618d7bb738af1a11fcfe1af1d0a8fa843af640e89d0ab3a51,20260813,,,,False,False,4096,True,/home/kai3/coco/quantization_graph/results/disk_environment/.test_runs/gist/gist_test_20260829_204245/runs/gist_test_20260829_204245/05A_disk_quantizer_io/gist/artifacts/test/PQ_4bit__resident__B2__c0__w32__r0.json,PQ,05A quantizer I/O
