layer,layer_display,method,method_display,storage_mode,search_width,recall,qps,latency_mean_us,latency_p95_us,io_requests_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,index_size_mb,resident_bytes,peak_rss_bytes,formal_ready,direct_io,native_aio
05a,05A quantizer I/O,Ours_RaBitQ_K1,Ours,resident,10,1.0,591880.231851,19.494982,35.32,0.0,0.0,0.0,15.432584,0.0,3.932157,0.0,1244.54689789,1305001984,1384738816,True,False,False
05a,05A quantizer I/O,PQ_4bit,PQ,resident,10,1.0,256441.358144,100.560879,112.016,0.0,0.0,0.0,98.615596,0.0,1.807459,0.0,457.824241638,480002048,1460985856,True,False,False
05a,05A quantizer I/O,SAQ_B4,SAQ,resident,10,1.0,162965.237233,152.131826,200.92,0.0,0.0,0.0,151.015475,0.0,0.985285,0.0,571.583329201,573448192,674062336,True,False,False
05a,05A quantizer I/O,SQ_4bit,SQ,resident,10,1.0,524004.653161,39.111166,65.188,0.0,0.0,0.0,37.067071,0.0,1.894363,0.0,457.772972107,480002048,547057664,True,False,False
05b,05B shared graph,Ours-Disk,Ours-Disk,hybrid_disk,480,0.98575,1.42145538,19673369.679596223,24833026.939,3832.08375,15703618.56,19656994.476136245,2150.9980925,98.58802,7494.88588625,458.04759625,1768.757458687,1325003840,1256169472,True,True,True
05b,05B shared graph,PQ-DiskANN-Disk,PQ-DiskANN,hybrid_disk,480,0.912625,163.644556021,173382.50978375,295141.004,413.48625,1693639.68,112554.6702125,49758.2218175,2344.04189375,8725.57586,0.0,784.235509872,480000960,665071616,True,True,True
05b,05B shared graph,SAQ-DiskANN-Disk,SAQ-DiskANN,hybrid_disk,460,0.892125,218.197311996,130190.93755,235357.195,396.435,1623797.76,110770.82627125,11809.99873125,92.72891875,7517.38362875,0.0,819.531984329,518001036,709636096,True,True,True
05b,05B shared graph,SQ-DiskANN-Disk,SQ-DiskANN,hybrid_disk,460,0.77475,161.774786762,172225.38175375,278931.899,396.56,1624309.76,83395.453745,82666.2761275,27.40653375,6136.2453475,0.0,787.107123375,484000968,645152768,True,True,True
05c,05C system,Glass-NSG-DiskPort,Glass-NSG,hybrid_disk,480,0.79575,1.933,16200700.0,20201367.4,11798.1,48324900.0,15862300.0,16200600.0,123.268,16200600.0,8.19685,732.422,3940,3280740,True,True,True
05c,05C system,OG-LVQ-DiskPort,OG-LVQ,hybrid_disk,480,0.905375,1.04725,30028300.0,36872100.0,17276.0,70762500.0,29530300.0,30028300.0,0.165686,30028300.0,0.0,818.461,7952,12048,True,True,True
05c,05C system,Ours-Disk,Ours-Disk,hybrid_disk,480,0.98575,1.49678841,18674077.337736245,24072843.812,3832.08375,15703618.56,18657375.447247505,2240.92844125,100.47235625,7740.4738775,442.47393875,1768.757458687,1325003840,1277861888,True,True,True
05c,05C system,SymphonyQG-DiskPort,SymphonyQG,hybrid_disk,100,0.934625,13.1993,62906.7,66115.1,104.564,1713170.0,59606.0,62899.9,4.45355,62899.9,2.35446,15625.0,8192,12288,True,True,True
