figure,artifact,experiment,command,run_id,data,status
1,paper/sigmod_draft/overview.tex,method_diagram,python paper/sigmod_draft/build.py,not_applicable,paper/sigmod_draft/overview.tex,schematic_not_measurement
2,paper/sigmod_draft/figures/disk_w32/fig01_throughput.pdf,03_disk_system,python paper/sigmod_draft/figures/disk_w32/plot_figures.py,test_L_400_w_32,paper/sigmod_draft/figures/disk_w32/source_data/all_measurements.csv;paper/sigmod_draft/figures/disk_w32/source_data/target_recall.csv,historical_snapshot_pending_acceptance
3,paper/sigmod_draft/figures/disk_w32/fig02_read_volume.pdf,03_disk_system,python paper/sigmod_draft/figures/disk_w32/plot_figures.py,test_L_400_w_32,paper/sigmod_draft/figures/disk_w32/source_data/all_measurements.csv;paper/sigmod_draft/figures/disk_w32/source_data/target_recall.csv,historical_snapshot_pending_acceptance
4,paper/sigmod_draft/figures/disk_w32/fig03_tail_latency.pdf,03_disk_system,python paper/sigmod_draft/figures/disk_w32/plot_figures.py,test_L_400_w_32,paper/sigmod_draft/figures/disk_w32/source_data/all_measurements.csv;paper/sigmod_draft/figures/disk_w32/source_data/target_recall.csv,historical_snapshot_pending_acceptance
5,paper/sigmod_draft/figures/disk_w32/fig04_screening_io.pdf,03_disk_system,python paper/sigmod_draft/figures/disk_w32/plot_figures.py,test_L_400_w_32,paper/sigmod_draft/figures/disk_w32/source_data/screening_io.csv,historical_snapshot_pending_acceptance
补充（未编号）,paper/sigmod_draft/figures/disk_w32/fig05_full_sweep.pdf,03_disk_system,python paper/sigmod_draft/figures/disk_w32/plot_figures.py,test_L_400_w_32,paper/sigmod_draft/figures/disk_w32/source_data/all_measurements.csv,historical_snapshot_pending_acceptance
补充（未编号）,paper/sigmod_draft/figures/disk_w32/fig06_requests.pdf,03_disk_system,python paper/sigmod_draft/figures/disk_w32/plot_figures.py,test_L_400_w_32,paper/sigmod_draft/figures/disk_w32/source_data/all_measurements.csv,historical_snapshot_pending_acceptance
待定 E3,results/01_disk_quantizer/<dataset>/<run-id>/figures/disk05a_quantizer_fair_summary.pdf,01_disk_quantizer,python scripts/plot_disk_experiments.py --results-root results --run-id <run-id> --layers 01 --datasets <dataset>,not_yet_run,results/01_disk_quantizer/<dataset>/<run-id>/tables/formal_test_rows.csv,planned_no_formal_result
待定 E4,results/02_disk_shared_graph/<dataset>/<run-id>/figures/disk05b_shared_graph_recall_qps.pdf,02_disk_shared_graph,python scripts/plot_disk_experiments.py --results-root results --run-id <run-id> --layers 02 --datasets <dataset>,not_yet_run,results/02_disk_shared_graph/<dataset>/<run-id>/tables/formal_test_rows.csv,planned_no_formal_result
待定 E1,results/03_disk_system/<dataset>/<run-id>/figures/disk05c_system_recall_qps.pdf,03_disk_system,python scripts/plot_disk_experiments.py --results-root results --run-id <run-id> --layers 03 --datasets <dataset>,not_yet_run,results/03_disk_system/<dataset>/<run-id>/tables/formal_test_rows.csv,planned_no_formal_result
