config_id,search_param,search_width,effective_search_width,ablation,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,index_size_mb,resident_bytes,peak_rss_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,dataset,method,source_row,qps_units,p95_ms,read_mib,formal_ready,workers,cache_mode,repeat_id,source_run_id,binary_sha256,query_split_sha256
beam1,10,10,10,db1+coalescing+reuse,1,0.93175,608.109068448,52041.0349825,50800.124,78949.707,100133.88,1363.786890984,116950160,437133312,167.02125,209.4725,857999.36,39405.28918375,411.51763625,94.7669175,436.67419375,3548.6239725,762.455,302.6275,761.455,301.6275,302.6275,199.6875,10.0,9.785,800,agnews,Ours-Disk,0,queries/s,78.94970699999999,0.818251953125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,11,11,11,db1+coalescing+reuse,1,0.946625,547.18535092,58012.29374,57648.132,81793.471,92957.017,1363.786890984,116950160,503287808,175.2375,218.19625,893731.84,39201.86222,588.183995,90.68448875,594.73748375,3452.2122425,792.03875,312.5925,791.03875,311.5925,312.5925,207.45125,11.0,10.745,800,agnews,Ours-Disk,1,queries/s,81.79347100000001,0.8523291015625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,12,12,12,db1+coalescing+reuse,1,0.956875,537.521586145,58931.51155875,58423.406,81426.985,92650.9,1363.786890984,116950160,566366208,183.39875,226.85125,929182.72,40051.18209375,597.64634125,90.3901125,594.9959475,3674.33584625,822.69875,322.29,821.69875,321.29,322.29,215.1725,12.0,11.67875,800,agnews,Ours-Disk,2,queries/s,81.426985,0.8861376953125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,13,13,13,db1+coalescing+reuse,1,0.960125,520.557079859,61154.458995,60858.945,81016.321,93648.734,1363.786890984,116950160,566366208,190.94125,234.795,961720.32,43157.0132175,567.22493125,87.55191875,582.21298875,3724.76288125,850.49125,331.24875,849.49125,330.24875,331.24875,222.16875,13.0,12.62625,800,agnews,Ours-Disk,3,queries/s,81.01632099999999,0.91716796875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,14,14,14,db1+coalescing+reuse,1,0.965375,495.446226465,64211.80952,62921.749,87099.542,102408.464,1363.786890984,116950160,566366208,198.5175,242.7625,994355.2,42924.9476375,677.3526,92.52233375,648.03581625,4071.68605,880.305,340.0,879.305,339.0,340.0,229.195,14.0,13.5675,800,agnews,Ours-Disk,4,queries/s,87.099542,0.948291015625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,15,15,15,db1+coalescing+reuse,1,0.968125,486.954145403,65221.16014625,64533.622,90332.43,104190.083,1363.786890984,116950160,566366208,205.68375,250.28875,1025182.72,44795.42586,643.57589875,100.03621625,1012.6366775,4298.04265875,907.5925,348.2375,906.5925,347.2375,348.2375,235.77125,15.0,14.5175,800,agnews,Ours-Disk,5,queries/s,90.33242999999999,0.9776904296875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,16,16,16,db1+coalescing+reuse,1,0.970625,464.857450765,68260.5072825,67768.358,91952.071,112835.827,1363.786890984,116950160,566366208,212.48625,257.44625,1054499.84,48093.1782675,639.8871525,98.7323875,789.75621,4499.47201,936.92375,355.97,935.92375,354.97,355.97,241.98875,16.0,15.4575,800,agnews,Ours-Disk,6,queries/s,91.95207099999999,1.0056494140625,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,17,17,17,db1+coalescing+reuse,1,0.972625,525.188201422,60636.0943075,60426.784,82570.329,95310.664,1363.786890984,116950160,566366208,219.30125,264.61125,1083847.68,54856.1880575,216.169195,75.73878375,358.610795,3556.40491125,964.88,363.69375,963.88,362.69375,363.69375,248.20125,17.0,16.41,800,agnews,Ours-Disk,7,queries/s,82.570329,1.0336376953125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,18,18,18,db1+coalescing+reuse,1,0.975625,473.013880803,67179.5613125,67485.234,90852.426,102191.054,1363.786890984,116950160,566366208,226.04375,271.6675,1112750.08,53233.362655,472.77190125,80.43407625,522.7207825,4365.40195375,992.9075,371.26125,991.9075,370.26125,371.26125,254.31125,18.0,17.35625,800,agnews,Ours-Disk,8,queries/s,90.85242600000001,1.061201171875,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
beam1,19,19,19,db1+coalescing+reuse,1,0.976625,446.116848028,71426.7894275,71612.802,92496.295,108071.927,1363.786890984,116950160,566366208,232.55,278.4525,1140541.44,54553.61565,550.3415275,85.05929,579.39047875,4909.49481875,1020.39125,378.48,1019.39125,377.48,378.48,260.14125,19.0,18.31125,800,agnews,Ours-Disk,9,queries/s,92.496295,1.087705078125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7
