dataset,search_width,db1_checks,db1_survivors,other_read_pages
agnews,10,761.455,301.6275,-3.552713678800501e-15
agnews,11,791.03875,311.5925,5.329070518200751e-15
agnews,12,821.69875,321.29,-2.1316282072803006e-14
agnews,13,849.49125,330.24875,-1.7763568394002505e-15
agnews,14,879.305,339.0,-5.329070518200751e-15
agnews,15,906.5925,347.2375,-1.5987211554602254e-14
agnews,16,935.92375,354.97,1.0658141036401503e-14
agnews,17,963.88,362.69375,-3.552713678800501e-15
agnews,18,991.9075,370.26125,1.7763568394002505e-14
agnews,19,1019.39125,377.48,-2.842170943040401e-14
agnews,20,1047.92125,384.65625,-2.842170943040401e-14
agnews,21,1075.3625,391.535,-2.1316282072803006e-14
agnews,22,1102.6075,398.2925,-1.0658141036401503e-14
agnews,23,1129.6925,404.84625,-3.552713678800501e-15
agnews,24,1156.78875,411.44375,-3.552713678800501e-14
agnews,25,1183.2725,417.6425,0.0
agnews,26,1210.10875,423.70875,-1.0658141036401503e-14
agnews,27,1237.88125,429.77625,-7.105427357601002e-15
agnews,28,1264.66875,435.605,3.907985046680551e-14
agnews,29,1291.15125,441.68,-3.552713678800501e-15
agnews,30,1316.64625,447.11,2.4868995751603507e-14
agnews,40,1575.33875,499.87875,-3.552713678800501e-14
agnews,50,1823.60375,547.33125,2.842170943040401e-14
agnews,60,2067.5625,591.41375,-7.105427357601002e-15
agnews,70,2307.23625,632.6825,-2.842170943040401e-14
agnews,80,2538.5425,672.21625,1.4210854715202004e-14
agnews,90,2767.1,711.32,5.684341886080802e-14
agnews,100,2990.68125,748.9925,7.105427357601002e-14
agnews,140,3857.26625,896.37125,0.010000000000019327
agnews,180,4682.37125,1038.75375,0.17250000000002785
agnews,220,5479.40375,1179.9075,1.0949999999999278
agnews,260,6255.46875,1320.74875,4.1712500000001995
agnews,300,7017.39125,1461.385,11.187500000000057
agnews,340,7763.36,1601.495,23.033749999999984
agnews,380,8489.7625,1740.02875,40.123750000000015
agnews,420,9206.965,1877.88,62.48999999999997
agnews,460,9908.03125,2015.465,88.9087500000002
agnews,500,10597.7325,2152.56125,118.63375000000003
agnews,540,11276.63,2288.72875,150.67250000000007
agnews,580,11952.185,2424.09,184.46375000000006
gist,10,975.48,353.68,-1.5987211554602254e-14
gist,11,1026.04375,368.65,-7.105427357601002e-15
gist,12,1080.07,383.5475,1.7763568394002505e-15
gist,13,1131.5325,398.00875,4.796163466380676e-14
gist,14,1178.4725,411.3925,3.375077994860476e-14
gist,15,1223.81625,424.1125,-3.197442310920451e-14
gist,16,1274.26625,437.50625,-1.7763568394002505e-14
gist,17,1324.9175,450.38375,3.552713678800501e-15
gist,18,1369.3475,463.0675,1.4210854715202004e-14
gist,19,1416.0925,475.18125,3.552713678800501e-15
gist,20,1466.36,487.62875,-1.0658141036401503e-14
gist,21,1510.89875,499.3875,1.0658141036401503e-14
gist,22,1553.15375,510.485,-2.842170943040401e-14
gist,23,1600.80875,522.01375,1.7763568394002505e-14
gist,24,1643.54625,533.04,-4.263256414560601e-14
gist,25,1689.66625,543.8925,1.0658141036401503e-14
gist,26,1729.94375,554.6,2.842170943040401e-14
gist,27,1772.60125,565.31375,2.1316282072803006e-14
gist,28,1815.2675,575.9925,1.4210854715202004e-14
gist,29,1860.1075,586.545,7.105427357601002e-15
gist,30,1905.985,597.25,-2.4868995751603507e-14
gist,40,2337.38875,696.0925,0.02749999999997499
gist,50,2764.4425,789.21125,0.112500000000054
gist,60,3183.055,878.8075,0.2662499999999923
gist,70,3594.03125,963.23125,0.47750000000002046
gist,80,3996.53,1045.5225,0.7862499999999528
gist,90,4391.71625,1125.23625,1.1499999999999773
gist,100,4785.48625,1202.78125,1.5562499999999488
gist,140,6274.25125,1494.08125,4.757499999999993
gist,180,7679.43625,1765.34375,12.882500000000178
gist,220,9019.9425,2020.88875,27.512499999999946
gist,260,10304.28625,2266.0375,47.722500000000025
gist,300,11545.6125,2499.72625,72.47625000000005
gist,340,12735.08125,2725.57875,100.56750000000017
gist,380,13892.3,2946.10125,131.14749999999975
gist,420,15016.865,3160.125,163.3775
gist,460,16113.2225,3368.71375,197.04249999999973
gist,500,17185.62,3573.5275,231.82625000000007
gist,540,18229.82375,3772.32375,267.305
