dataset,target_recall,method,status,config_id,search_param,search_width,effective_search_width,ablation,beam_width,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,index_size_mb,resident_bytes,peak_rss_bytes,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,io_wait_us,distance_compute_us,query_prep_us,queue_compute_us,rerank_us,visited_nodes,distance_evaluations,db1_checks,db1_survivors,full4_candidates,full4_page_reads,rerank_candidates,rerank_page_reads,query_count,source_row,qps_units,p95_ms,read_mib,formal_ready,workers,cache_mode,repeat_id,source_run_id,binary_sha256,query_split_sha256,max_measured_recall
agnews,0.95,Ours-Disk,measured,beam1,12,12,12,db1+coalescing+reuse,1,0.956875,537.521586145,58931.51155875,58423.406,81426.985,92650.9,1363.786890984,116950160,566366208,183.39875,226.85125,929182.72,40051.18209375,597.64634125,90.3901125,594.9959475,3674.33584625,822.69875,322.29,821.69875,321.29,322.29,215.1725,12.0,11.67875,800,2,queries/s,81.426985,0.8861376953125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,
agnews,0.95,DiskANN-PQ-Disk,measured,beam1,11,11,,,1,0.9607499999999983,179.92599228757982,175037.2454037501,174984.303,258933.72599999997,294955.658,6387.501987457275,393924616,569737216,35.1525,35.1525,143984.64,169847.69125,1513.0425,2645.83125,0.0,0.0,966.8825,966.8825,,,,,,,800,1,queries/s,258.933726,0.137314453125,False,32,c0,0,native_integration_query_cache,daff1bfb8e7fce43fd5c4f8ca2651d7e21661efa927dce846e97f1ba88fcb77b,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,
agnews,0.95,SymphonyQG-DiskPort,measured,QG_R64_EF400_t3,ef=26,26,,,1,0.954625,114.943,196816,201712,343991,407727,12021.6,8192,163659776,21.3025,85.21,349020,193395,196712,96.0701,196712,7.87598,21.3025,21.3025,,,,,,,800,25,queries/s,343.991,0.3328514099121094,False,32,c0,0,native_integration_query_cache,ddb2671e28b68a35ed366acbf8411ddcdf506db63f982842299aea0b9433bd5c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,
agnews,0.95,OG-LVQ-DiskPort,measured,LVQ4_R64_W400,W=50,50,,,1,0.950625,19.3761,1490680.0,1459610.0,2089150.0,2308700.0,629.711,8208,178499584,1854.42,1854.42,7595690.0,1462260.0,1490680.0,0.131959,1490680.0,0,54.3837,1809.2,,,,,,,800,31,queries/s,2089.15,7.243814468383789,False,32,c0,0,native_integration_query_cache,ed35a2d18419a5180b896694d527a0a5d2a53208d174324677c14a9c5efa210e,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,
agnews,0.95,Glass-NSG-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945
agnews,0.99,Ours-Disk,measured,beam1,60,60,60,db1+coalescing+reuse,1,0.991,224.130480401,141414.67186125,136857.558,201465.126,234182.992,1363.786890984,116950160,566366208,440.27375,494.47125,2025354.24,103777.2093325,1427.9140575,101.43507375,1514.87127625,15334.648755,2068.5625,592.41375,2067.5625,591.41375,592.41375,438.96625,60.0,55.505,800,23,queries/s,201.465126,1.9315283203125,False,32,c0,0,native_integration_query_cache,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,
agnews,0.99,DiskANN-PQ-Disk,measured,beam1,40,40,,,1,0.993499999999999,63.643168385623966,495136.36972250044,504281.294,624579.479,677851.192,6387.501987457275,393924616,578125824,91.56,91.56,375029.76,488014.08875,3382.84375,2709.50875,0.0,0.0,2022.765,2022.765,,,,,,,800,21,queries/s,624.5794790000001,0.35765625,False,32,c0,0,native_integration_query_cache,daff1bfb8e7fce43fd5c4f8ca2651d7e21661efa927dce846e97f1ba88fcb77b,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,
agnews,0.99,SymphonyQG-DiskPort,measured,QG_R64_EF400_t3,ef=60,60,,,1,0.9915,66.4454,405959,381102,641109,771924,12021.6,8192,163659776,35.1525,140.61,575939,403148,405874,77.9963,405874,7.33757,35.1525,35.1525,,,,,,,800,32,queries/s,641.109,0.5492582321166992,False,32,c0,0,native_integration_query_cache,ddb2671e28b68a35ed366acbf8411ddcdf506db63f982842299aea0b9433bd5c,078548f8ed3526b3de09fb06f5c9b26f0125e3c1e0aeb017b99f5f4c95be6bb7,
agnews,0.99,OG-LVQ-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953
agnews,0.99,Glass-NSG-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945
gist,0.95,Ours-Disk,measured,beam1,100,100,100,db1+coalescing+reuse,1,0.951375,109.300912317,289492.4216925,280219.925,400720.609,520636.622,1772.568249702,152003840,599117824,1044.77625,1100.385,4507176.96,256802.88378125,1490.18289125,75.92980375,2471.4490625,16571.5983525,4786.48625,1203.78125,4785.48625,1202.78125,1203.78125,1000.16875,100.0,98.66,800,27,queries/s,400.720609,4.29837890625,False,32,c0,0,native_integration_optimized_queue,a64dfc64e5f351aa48e5d929d8413143935aa0b6079046402d3a04a2f826c92c,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,
gist,0.95,DiskANN-PQ-Disk,measured,beam1,80,80,,,1,0.9571249999999973,31.757668701012506,993502.3095187506,993172.3759999999,1175690.923,1250156.8029999998,8271.231052398682,480000968,651112448,171.5325,171.5325,702597.12,982898.0725,7002.35,2549.4575,0.0,0.0,4588.5975,4588.5975,,,,,,,800,25,queries/s,1175.6909229999999,0.670048828125,False,32,c0,0,native_integration_optimized_queue,daff1bfb8e7fce43fd5c4f8ca2651d7e21661efa927dce846e97f1ba88fcb77b,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,
gist,0.95,SymphonyQG-DiskPort,measured,QG_R64_EF400_t3,ef=140,140,,,1,0.957375,21.1439,1427050.0,1487900.0,1863350.0,2017330.0,15625,8192,161439744,110.868,443.47,1816450.0,1423250.0,1426970.0,73.9788,1426970.0,8.77202,110.868,110.868,,,,,,,800,37,queries/s,1863.35,1.7323017120361328,False,32,c0,0,native_integration_optimized_queue,ddb2671e28b68a35ed366acbf8411ddcdf506db63f982842299aea0b9433bd5c,9b46438f0c6472734127bfa9cd1af70b6f2fde91c76fb5ea353f515c3e1c3354,
gist,0.95,OG-LVQ-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905625
gist,0.95,Glass-NSG-DiskPort,target_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796625
