figure,panel,dataset,method,total,in_window,outside_window
fig01_throughput,a,agnews,Ours-Disk,40,40,0
fig01_throughput,a,agnews,DiskANN-PQ-Disk,40,40,0
fig01_throughput,a,agnews,SymphonyQG-DiskPort,49,31,18
fig01_throughput,a,agnews,OG-LVQ-DiskPort,49,49,0
fig01_throughput,a,agnews,Glass-NSG-DiskPort,49,49,0
fig01_throughput,b,gist,Ours-Disk,40,17,23
fig01_throughput,b,gist,DiskANN-PQ-Disk,40,18,22
fig01_throughput,b,gist,SymphonyQG-DiskPort,49,16,33
fig01_throughput,b,gist,OG-LVQ-DiskPort,49,11,38
fig01_throughput,b,gist,Glass-NSG-DiskPort,49,0,49
fig01_throughput,c,dbpedia,Ours-Disk,40,38,2
fig01_throughput,c,dbpedia,SymphonyQG-DiskPort,49,12,37
fig02_read_volume,a,agnews,Ours-Disk,40,40,0
fig02_read_volume,a,agnews,DiskANN-PQ-Disk,40,40,0
fig02_read_volume,a,agnews,SymphonyQG-DiskPort,49,31,18
fig02_read_volume,a,agnews,OG-LVQ-DiskPort,49,49,0
fig02_read_volume,a,agnews,Glass-NSG-DiskPort,49,49,0
fig02_read_volume,b,gist,Ours-Disk,40,17,23
fig02_read_volume,b,gist,DiskANN-PQ-Disk,40,18,22
fig02_read_volume,b,gist,SymphonyQG-DiskPort,49,16,33
fig02_read_volume,b,gist,OG-LVQ-DiskPort,49,11,38
fig02_read_volume,b,gist,Glass-NSG-DiskPort,49,0,49
fig02_read_volume,c,dbpedia,Ours-Disk,40,38,2
fig02_read_volume,c,dbpedia,SymphonyQG-DiskPort,49,12,37
fig03_tail_latency,a,agnews,Ours-Disk,40,40,0
fig03_tail_latency,a,agnews,DiskANN-PQ-Disk,40,40,0
fig03_tail_latency,a,agnews,SymphonyQG-DiskPort,49,31,18
fig03_tail_latency,a,agnews,OG-LVQ-DiskPort,49,49,0
fig03_tail_latency,a,agnews,Glass-NSG-DiskPort,49,49,0
fig03_tail_latency,b,gist,Ours-Disk,40,17,23
fig03_tail_latency,b,gist,DiskANN-PQ-Disk,40,18,22
fig03_tail_latency,b,gist,SymphonyQG-DiskPort,49,16,33
fig03_tail_latency,b,gist,OG-LVQ-DiskPort,49,11,38
fig03_tail_latency,b,gist,Glass-NSG-DiskPort,49,0,49
fig03_tail_latency,c,dbpedia,Ours-Disk,40,38,2
fig03_tail_latency,c,dbpedia,SymphonyQG-DiskPort,49,12,37
fig05_full_sweep,a,agnews,Ours-Disk,40,40,0
fig05_full_sweep,a,agnews,DiskANN-PQ-Disk,40,40,0
fig05_full_sweep,a,agnews,SymphonyQG-DiskPort,49,49,0
fig05_full_sweep,a,agnews,OG-LVQ-DiskPort,49,49,0
fig05_full_sweep,a,agnews,Glass-NSG-DiskPort,49,49,0
fig05_full_sweep,b,gist,Ours-Disk,40,40,0
fig05_full_sweep,b,gist,DiskANN-PQ-Disk,40,40,0
fig05_full_sweep,b,gist,SymphonyQG-DiskPort,49,49,0
fig05_full_sweep,b,gist,OG-LVQ-DiskPort,49,49,0
fig05_full_sweep,b,gist,Glass-NSG-DiskPort,49,49,0
fig05_full_sweep,c,dbpedia,Ours-Disk,40,40,0
fig05_full_sweep,c,dbpedia,SymphonyQG-DiskPort,49,49,0
fig06_requests,a,agnews,Ours-Disk,40,40,0
fig06_requests,a,agnews,DiskANN-PQ-Disk,40,40,0
fig06_requests,a,agnews,SymphonyQG-DiskPort,49,31,18
fig06_requests,a,agnews,OG-LVQ-DiskPort,49,49,0
fig06_requests,a,agnews,Glass-NSG-DiskPort,49,49,0
fig06_requests,b,gist,Ours-Disk,40,17,23
fig06_requests,b,gist,DiskANN-PQ-Disk,40,18,22
fig06_requests,b,gist,SymphonyQG-DiskPort,49,16,33
fig06_requests,b,gist,OG-LVQ-DiskPort,49,11,38
fig06_requests,b,gist,Glass-NSG-DiskPort,49,0,49
fig06_requests,c,dbpedia,Ours-Disk,40,38,2
fig06_requests,c,dbpedia,SymphonyQG-DiskPort,49,12,37
