method,search_dram_budget_gib,search_width,beam_width,recall,qps,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,latency_mean_us,process_peak_rss_bytes,ours_route_mode,ours_route_dimension,hot_record_nodes,dynamic_record_capacity_nodes,run_id,artifact_path
Ours-Disk,4.0,10,4,0.939125,247.163899071,67.75625,67.7625,277555.2,128825.42818125,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,20,4,0.978375,212.541841289,96.09875,96.105,393646.08,146813.573625,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,40,4,0.987375,247.462919822,143.1425,143.15125,586347.52,128771.2914675,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,60,4,0.990875,301.692384954,184.235,184.245,754667.52,105503.5811225,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,100,4,0.992125,249.131249593,255.7125,255.72625,1047454.72,126611.7539775,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,160,4,0.993875,278.618678456,348.57375,348.59125,1427829.76,112921.95054875,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,240,4,0.994375,249.97802701,457.32625,457.35125,1873310.72,126705.40969125,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,400,4,0.994375,180.228988504,646.295,646.31875,2647321.6,175074.86758875,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,580,4,0.994375,141.018494943,832.1725,832.20125,3408696.32,224125.13038,1381105664,full1bit,1024,318336,451046,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,10,1,0.7076250000000006,197.73566571534832,11.255,45.02,184401.92,51332.180988749984,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,20,1,0.9153749999999948,183.1514466351972,13.72625,54.905,224890.88,65793.89930375,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,40,1,0.9818749999999992,146.05768964826618,21.06125,84.245,345067.52,111853.46947250002,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,60,1,0.9914999999999992,126.87721377910057,27.39625,109.585,448860.16,153161.82053250005,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,100,1,0.9961249999999996,95.83265001159975,38.8825,155.53,637050.88,227684.75378625,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,160,1,0.9968749999999997,73.8300373282869,54.0425,216.17,885432.32,330986.4668325,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,240,1,0.9973749999999998,57.9051621198745,71.82875,287.315,1176842.24,444346.06185625005,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,400,1,0.9988749999999998,41.82792802124829,101.9375,407.75,1670144,649056.9608924999,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,580,1,0.9989999999999998,33.001855833085045,130.78625,523.145,2142801.92,848049.5851750001,3833303040,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,10,1,0.9003749999999954,121.21516659625448,634.7925,634.7925,2600110.08,60505.56691749996,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,20,1,0.9264999999999955,107.183584900212,883.1025,883.1025,3617187.84,100467.0163975,176693248,,,,,agnews_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/agnews/agnews_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
