method,search_dram_budget_gib,search_width,beam_width,recall,qps,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,latency_mean_us,process_peak_rss_bytes,ours_route_mode,ours_route_dimension,hot_record_nodes,dynamic_record_capacity_nodes,run_id,artifact_path
Ours-Disk,4.0,10,4,0.903788888889,1236.911972435,33.955666667,33.956333333,139085.141333333,25855.920173111,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,20,4,0.952833333333,1164.126072859,44.475777778,44.476777778,182176.881777778,27447.532971111,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,40,4,0.973422222222,1187.506904388,64.185444444,64.186888889,262909.496888889,26931.623534222,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,60,4,0.980711111111,1012.579658161,83.038666667,83.040555556,340134.115555556,31558.426941444,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,100,4,0.986733333333,841.063544634,119.755555556,119.759777778,490536.049777778,37994.210984111,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,160,4,0.989766666667,655.116382279,173.751888889,173.758,711712.768,48808.836637667,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,240,4,0.991711111111,483.031425416,245.206555556,245.214666667,1004399.274666667,66193.689213445,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,400,4,0.993288888889,311.58839134,387.563555556,387.577333333,1587516.757333333,102597.818869222,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,580,4,0.994166666667,221.28913917,547.567888889,547.586888889,2242915.896888889,144506.572133,3033124864,full1bit,1536,817263,172737,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,10,1,0.6523555555555578,160.35929240680028,11.377888888888888,68.26733333333334,279622.99733333336,97664.2386807778,3847364608,,,,,dbpedia_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/dbpedia/dbpedia_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
