method,search_dram_budget_gib,search_width,beam_width,recall,qps,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,latency_mean_us,process_peak_rss_bytes,ours_route_mode,ours_route_dimension,hot_record_nodes,dynamic_record_capacity_nodes,run_id,artifact_path
DiskANN-PQ-Disk,4.0,10,4,0.7179999999999981,2187.299704010503,5.8,5.8,23756.8,12316.581938749994,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,20,4,0.8212499999999981,1673.382301951926,8.58,8.58,35143.68,16685.52354499999,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,40,4,0.9044999999999963,1049.3116438885177,14.8025,14.8025,60631.04,27605.546738750025,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,60,4,0.9426249999999967,733.8840666625683,21.0625,21.0625,86272.0,38920.12280375,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,100,4,0.969249999999998,470.865229243668,33.7125,33.7125,138086.4,61938.59831500007,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,160,4,0.9874999999999986,307.05131622181256,53.0775,53.0775,217405.44,94567.10633125003,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,240,4,0.9941249999999994,195.99135030197766,78.7725,78.7725,322652.16,144899.03465499994,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,400,4,0.9973749999999996,107.72258880411447,130.71,130.71,535388.16,274566.6257650001,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
DiskANN-PQ-Disk,4.0,580,4,0.9976249999999997,72.03491147420692,189.9625,189.9625,778086.4,409293.58946124994,,,,,,gist_aligned_20260922_03_pair,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260922_03_pair/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.reference/result.json
Glass-NSG-DiskPort,4.0,10,1,0.4903749999999994,111.61178732755637,796.47,796.47,3262341.12,92611.60371374995,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
