method,search_dram_budget_gib,search_width,beam_width,recall,qps,io_requests_per_query,sectors_4k_per_query,bytes_read_per_query,latency_mean_us,process_peak_rss_bytes,ours_route_mode,ours_route_dimension,hot_record_nodes,dynamic_record_capacity_nodes,run_id,artifact_path
Ours-Disk,4.0,10,4,0.683,357.410063927,57.47125,57.505,235540.48,85910.27762625,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,20,4,0.79325,397.113472906,82.7225,82.765,339005.44,78433.13950875,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,40,4,0.882125,375.707475786,126.105,126.1725,516802.56,84112.31174375,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,60,4,0.919,355.755173895,164.2575,164.345,673157.12,86360.91039625,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,100,4,0.95275,334.494503966,231.8875,232.0025,950282.24,94898.75416875,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,160,4,0.973125,303.59883555,320.51375,320.6675,1313454.08,104294.01933,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,240,4,0.981375,256.063220083,423.4875,423.66625,1735336.96,123986.68974375,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,400,4,0.985,191.175413733,604.1325,604.34375,2475392.0,165434.719815,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
Ours-Disk,4.0,580,4,0.9865,147.149071218,785.4375,785.67875,3218140.16,216055.22276875,1412698112,full1bit,960,362132,637868,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Ours-Disk/test/Ours-Disk__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,10,1,0.5296250000000001,175.49262870886102,11.39375,45.575,186675.2,75004.290145,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,20,1,0.7012499999999985,135.5931680781586,17.84,71.36,292290.56,129964.2461025,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,40,1,0.8358749999999978,96.89937737342616,28.86,115.44,472842.24,231694.0879775,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,60,1,0.8884999999999961,73.94410113762922,38.43125,153.725,629657.6,329264.16413375,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,100,1,0.9373749999999965,55.524515369547245,55.37375,221.495,907243.52,470599.12526874995,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,160,1,0.963624999999997,41.649626717581555,76.17625,304.705,1248071.68,660847.9441037498,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,240,1,0.9787499999999985,32.48572525153769,98.6375,394.55,1616076.8,867178.5081475001,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,400,1,0.9891249999999993,24.406503661021738,133.96875,535.875,2194944,1195711.7116175,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
SymphonyQG-DiskPort,4.0,580,1,0.9932499999999994,20.195939505024338,163.4875,653.95,2678579.2,1464987.9646224997,3833933824,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/SymphonyQG-DiskPort/test/SymphonyQG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,10,1,0.4903749999999994,111.61178732755637,796.47,796.47,3262341.12,92611.60371374995,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,20,1,0.6064999999999998,85.69281922542429,1177.33,1177.33,4822343.68,184498.74389124976,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,40,1,0.6982499999999991,58.72052566951635,1856.22875,1856.22875,7603112.96,347647.6375887497,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,60,1,0.7363749999999992,44.79761895960439,2502.05375,2502.05375,10248412.16,522942.6206025003,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,100,1,0.7683749999999979,30.452921389675733,3742.89375,3742.89375,15330892.8,853721.5711124998,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,160,1,0.782124999999997,20.98617714472012,5472.5825,5472.5825,22415697.92,1331065.9522924996,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,240,1,0.7897499999999966,15.177475092110784,7605.8575,7605.8575,31153592.32,1918783.3186774992,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,400,1,0.7944999999999969,10.080657524322524,11462.9525,11462.9525,46952253.44,2972095.54078625,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
Glass-NSG-DiskPort,4.0,580,1,0.7962499999999969,7.537826907332853,15371.67375,15371.67375,62962375.68,4041520.826738752,169828352,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/Glass-NSG-DiskPort/test/Glass-NSG-DiskPort__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,10,4,0.7179999999999981,600.3801691284144,31.425,31.425,128716.8,51658.059296250016,1215512576,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
DiskANN-PQ-Disk,4.0,20,4,0.8212499999999981,559.9155146279555,46.065,46.065,188682.24,54850.03252750001,1215512576,,,,,gist_aligned_20260921_03_ram4,/home/kai3/coco/quantization_graph/results/03_disk_system/gist/gist_aligned_20260921_03_ram4/raw/DiskANN-PQ-Disk/test/DiskANN-PQ-Disk__hybrid_disk__B4__standard__w32__r0.json
