method,search_width,recall_resident,recall_payload_on_ssd,latency_us_resident,latency_us_payload_on_ssd,io_requests_payload_on_ssd,sectors_4k_payload_on_ssd,bytes_read_payload_on_ssd
PQ_4bit,10,1.0,1.0,275.97323060035706,1069.1545903682709,10.0,12.0,49152.0
PQ_4bit,11,1.0,1.0,285.174697637558,1117.1512305736542,11.0,14.0,57344.0
PQ_4bit,12,1.0,1.0,298.4479069709778,1249.551773071289,12.0,15.0,61440.0
PQ_4bit,13,1.0,1.0,359.3079745769501,1378.387212753296,13.0,17.0,69632.0
PQ_4bit,14,1.0,1.0,375.2894699573517,1451.1868357658386,14.0,18.0,73728.0
PQ_4bit,15,1.0,1.0,391.5354609489441,1473.24800491333,15.0,19.0,77824.0
PQ_4bit,16,1.0,1.0,407.9192876815796,1573.0969607830048,16.0,20.0,81920.0
PQ_4bit,17,1.0,1.0,425.8193075656891,1645.8258032798767,17.0,21.0,86016.0
PQ_4bit,18,1.0,1.0,454.85422015190125,1727.025955915451,18.0,22.0,90112.0
PQ_4bit,19,1.0,1.0,457.5364291667938,1769.0286040306091,19.0,24.0,98304.0
PQ_4bit,20,1.0,1.0,474.86647963523865,1850.1728773117065,20.0,25.0,102400.0
PQ_4bit,21,1.0,1.0,485.2376878261566,1935.3479146957397,21.0,26.0,106496.0
PQ_4bit,22,1.0,1.0,505.13818860054016,2009.2017948627472,22.0,28.0,114688.0
PQ_4bit,23,1.0,1.0,487.2754216194153,2021.9460129737854,23.0,29.0,118784.0
PQ_4bit,24,1.0,1.0,501.8003284931183,2071.477472782135,24.0,30.0,122880.0
PQ_4bit,25,1.0,1.0,511.40785217285156,2149.447798728943,25.0,32.0,131072.0
PQ_4bit,26,1.0,1.0,548.4521389007568,7733.836770057678,26.0,33.0,135168.0
PQ_4bit,27,1.0,1.0,548.6682057380676,9798.657149076462,27.0,34.0,139264.0
PQ_4bit,28,1.0,1.0,620.8084523677826,7472.511380910873,28.0,35.0,143360.0
PQ_4bit,29,1.0,1.0,742.6217198371887,9029.194712638855,29.0,36.0,147456.0
PQ_4bit,30,1.0,1.0,846.0618555545807,8665.256202220917,30.0,37.0,151552.0
PQ_4bit,40,1.0,1.0,1061.4022612571716,9393.45732331276,39.0,47.0,192512.0
PQ_4bit,50,1.0,1.0,1279.2833149433136,5460.429936647415,48.0,58.0,237568.0
PQ_4bit,60,1.0,1.0,1477.7593314647675,9437.602013349533,58.0,68.0,278528.0
PQ_4bit,70,1.0,1.0,1714.654266834259,9217.910468578339,68.0,78.0,319488.0
PQ_4bit,80,1.0,1.0,1931.2873482704163,9029.306471347809,78.0,88.0,360448.0
PQ_4bit,90,1.0,1.0,2141.6842937469482,8781.541138887405,87.0,97.0,397312.0
PQ_4bit,100,1.0,1.0,2361.5024983882904,8821.297436952591,96.0,110.0,450560.0
PQ_4bit,140,1.0,1.0,3213.975578546524,14714.427292346954,135.0,152.0,622592.0
PQ_4bit,180,1.0,1.0,4059.8809719085693,15522.044152021408,171.0,192.0,786432.0
PQ_4bit,220,1.0,1.0,4907.257854938507,17039.280384778976,208.0,236.0,966656.0
PQ_4bit,260,1.0,1.0,4811.92022562027,20606.48426413536,246.0,284.0,1163264.0
PQ_4bit,300,1.0,1.0,5613.330751657486,21532.822400331497,284.0,327.0,1339392.0
PQ_4bit,340,1.0,1.0,5757.167935371399,23170.888423919678,320.0,368.0,1507328.0
PQ_4bit,380,1.0,1.0,5951.382219791412,28109.293431043625,357.0,414.0,1695744.0
PQ_4bit,420,1.0,1.0,6974.08989071846,34103.24454307556,394.0,458.0,1875968.0
PQ_4bit,460,1.0,1.0,7862.146943807602,34185.778349637985,431.0,502.0,2056192.0
PQ_4bit,500,1.0,1.0,8068.457245826721,36346.033215522766,468.0,549.0,2248704.0
PQ_4bit,540,1.0,1.0,8478.078991174698,46959.30331945419,503.0,592.0,2424832.0
PQ_4bit,580,1.0,1.0,9675.230830907822,45313.78298997879,538.0,634.0,2596864.0
SQ_4bit,10,1.0,1.0,257.71185755729675,974.263995885849,10.0,12.0,49152.0
SQ_4bit,11,1.0,1.0,215.15414118766785,1006.6106915473938,11.0,14.0,57344.0
SQ_4bit,12,1.0,1.0,218.22378039360046,1040.823757648468,12.0,15.0,61440.0
SQ_4bit,13,1.0,1.0,221.61006927490234,1076.5418410301208,13.0,17.0,69632.0
SQ_4bit,14,1.0,1.0,231.45973682403564,1125.197857618332,14.0,18.0,73728.0
SQ_4bit,15,1.0,1.0,251.10319256782532,1215.1673436164856,15.0,19.0,77824.0
SQ_4bit,16,1.0,1.0,246.7036247253418,1272.2574174404144,16.0,20.0,81920.0
SQ_4bit,17,1.0,1.0,255.2419900894165,1359.3100011348724,17.0,21.0,86016.0
SQ_4bit,18,1.0,1.0,261.57498359680176,1398.339867591858,18.0,22.0,90112.0
SQ_4bit,19,1.0,1.0,269.58808302879333,1495.320349931717,19.0,24.0,98304.0
SQ_4bit,20,1.0,1.0,275.31012892723083,1483.0417931079865,20.0,25.0,102400.0
SQ_4bit,21,1.0,1.0,278.83797883987427,1594.8936343193054,21.0,26.0,106496.0
SQ_4bit,22,1.0,1.0,293.35543513298035,1629.408448934555,22.0,28.0,114688.0
SQ_4bit,23,1.0,1.0,312.78282403945923,1699.0303993225098,23.0,29.0,118784.0
SQ_4bit,24,1.0,1.0,308.748334646225,1760.639250278473,24.0,30.0,122880.0
SQ_4bit,25,1.0,1.0,309.4598650932312,1722.5109040737152,25.0,32.0,131072.0
SQ_4bit,26,1.0,1.0,320.6767141819,4998.046904802322,26.0,33.0,135168.0
SQ_4bit,27,1.0,1.0,330.07562160491943,10219.220072031021,27.0,34.0,139264.0
SQ_4bit,28,1.0,1.0,338.03656697273254,5670.018494129181,28.0,35.0,143360.0
SQ_4bit,29,1.0,1.0,340.0780260562897,10197.583585977554,29.0,36.0,147456.0
SQ_4bit,30,1.0,1.0,354.70351576805115,5648.378282785416,30.0,37.0,151552.0
SQ_4bit,40,1.0,1.0,431.2172532081604,10229.721665382385,39.0,47.0,192512.0
SQ_4bit,50,1.0,1.0,516.8095231056213,3019.820898771286,48.0,58.0,237568.0
SQ_4bit,60,1.0,1.0,581.1825394630432,9061.794728040695,58.0,68.0,278528.0
SQ_4bit,70,1.0,1.0,736.769288778305,10101.109743118286,68.0,78.0,319488.0
SQ_4bit,80,1.0,1.0,783.8830351829529,4744.220525026321,78.0,88.0,360448.0
SQ_4bit,90,1.0,1.0,860.6873452663422,5024.608224630356,87.0,97.0,397312.0
SQ_4bit,100,1.0,1.0,936.0797703266144,5674.064159393311,96.0,110.0,450560.0
SQ_4bit,140,1.0,1.0,1270.0818479061127,7732.9762279987335,135.0,152.0,622592.0
SQ_4bit,180,1.0,1.0,1598.2910990715027,11184.677481651306,171.0,192.0,786432.0
