method,search_width,beam_width,recall_at_10,latency_us,io_requests,sectors_4k
PQ,10,1,0.55,22230.62701523304,18.0,19.0
PQ,20,1,0.6,21016.29227399826,27.0,29.0
PQ,40,1,0.8,33854.50132191181,46.0,49.5
SQ,10,1,0.5,12504.81978058815,18.5,19.0
SQ,20,1,0.7,19103.1564027071,28.0,29.0
SQ,40,1,0.8,32072.657719254494,47.0,49.0
SAQ,10,1,0.4,10630.885139107704,18.0,19.0
SAQ,20,1,0.5,16254.125162959099,28.0,29.0
SAQ,40,1,0.55,26764.599606394768,46.0,49.0
Ours-SharedGraph,10,1,0.0,32572.172582149506,275.0,304.5
Ours-SharedGraph,20,1,0.0,39811.06914579868,317.0,349.0
Ours-SharedGraph,40,1,0.0,52428.968250751495,388.0,422.0
