suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,10,1,3635.26,275.083,147.331,287.931,10000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,11,0.9717,9924.22,100.764,94.098,138.085,11000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,12,0.9635,9329.5,107.187,102.14,141.199,12000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,13,0.9588,6623.01,150.989,152.206,167.517,13000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,14,0.9576,6026.29,165.939,163.576,223.9,14000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,15,0.9566,5455.27,183.309,175.444,290.669,15000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,16,0.956,5188.85,192.721,187.162,272.039,16000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,17,0.9559,4488.14,222.809,198.853,369.517,17000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,18,0.9557,4340.07,230.411,210.306,376.121,18000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,19,0.9557,3841.36,260.324,222.124,447.905,19000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,PQ_4bit,L2,10,4,512,375.737,706.383,40716.2,35880.2,4836.04,rerank_candidates,20,0.9555,3855.27,259.385,233.499,429.778,20000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
