suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,10,1,17092.6,58.5049,32.178,54.43,10000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,11,0.9911,16066.4,62.2418,35.252,59.537,11000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,12,0.9905,15266.8,65.5016,38.048,64.266,12000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,13,0.9903,14792.2,67.6033,40.437,67.001,13000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,14,0.9902,14289.5,69.9814,43.407,70.145,14000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,15,0.9902,13726.1,72.8538,46.296,75.213,15000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,16,0.9903,13124,76.1963,49.946,80.33,16000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,17,0.9903,12616.5,79.2616,53.219,84.247,17000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,18,0.9905,12098.1,82.6574,57.015,88.952,18000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,19,0.9905,11662.9,85.7418,60.473,93.61,19000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,20,0.9902,11037,90.6046,63.469,98.302,20000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,21,0.9902,10833.8,92.3033,66.589,102.774,21000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,22,0.9903,10462.4,95.5804,70.225,107.973,22000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,23,0.9903,8247.34,121.251,73.439,112.833,23000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,24,0.9903,9738.49,102.685,77.593,117.949,24000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,25,0.9903,9586.54,104.313,80.088,120.35,25000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,26,0.9901,9262.42,107.963,83.513,125.991,26000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,27,0.9901,8965.6,111.537,86.726,130.933,27000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,28,0.9902,8664.3,115.416,90.045,135.984,28000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,29,0.9902,8215.59,121.72,96.813,146.868,29000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,30,0.9904,7908.93,126.439,101.887,154.136,30000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,40,0.9903,6144.27,162.753,137.8,200.611,40000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,50,0.9903,5092.43,196.37,174.885,246.768,50000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,60,0.9903,3847.73,259.894,217.87,301.201,60000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,70,0.9905,3635.33,275.078,254.448,348.392,70000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,80,0.9899,3093.27,323.282,305.096,409.68,80000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,90,0.9903,2737.56,365.288,345.221,465.041,90000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,100,0.9904,2347.76,425.937,385.571,515.076,100000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,140,0.9901,1730.43,577.889,566.786,721.586,140000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,180,0.9901,1293.53,773.081,736.457,920.213,180000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,220,0.9902,1050.95,951.522,915.678,1122.1,220000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,260,0.9898,860.64,1161.93,1129.97,1503.36,260000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,300,0.9901,517.77,1931.36,1741.54,3179.31,300000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,340,0.9898,636.581,1570.89,1535.32,1927.77,340000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,380,0.9902,573.989,1742.19,1699.91,2057.36,380000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,420,0.9903,527.896,1894.31,1863.61,2186.41,420000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,460,0.9903,485.436,2060.01,2043.54,2379.2,460000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,agnews,SAQ_B4,L2,10,4,512,461.293,0,0,0,0,fixed_candidates_k,1000,0.9903,214.081,4671.14,4640.31,5188.35,1e+06,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
