suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,10,1,11108.8,90.0186,89.574,97.622,10000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,11,0.9659,10280.6,97.2702,97.136,103.901,11000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,12,0.954,18750.8,53.3311,53.106,54.268,12000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,13,0.9499,17468.5,57.246,57.065,57.883,13000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,14,0.9479,16244.2,61.5604,61.301,62.059,14000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,15,0.9468,15188.3,65.8401,65.659,66.455,15000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,16,0.9465,14240.2,70.2238,70.058,70.776,16000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,17,0.9464,13402.7,74.6117,74.423,75.189,17000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,18,0.9462,12648.3,79.062,78.873,79.677,18000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,agnews,SQ_4bit,L2,10,4,512,375.683,724.961,1820.47,206.847,1613.62,rerank_candidates,19,0.946,11969,83.5491,83.329,84.228,19000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
