suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,10,1,20699.8,48.3097,47.364,57.537,100000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,11,0.96532,28753.4,34.7785,34.609,37.206,110000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,12,0.95581,28022.5,35.6856,35.597,37.388,120000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,13,0.95262,27139.6,36.8465,36.778,38.715,130000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,14,0.9511,26355.9,37.9421,37.84,39.834,140000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,15,0.95055,25635.2,39.0089,38.93,40.936,150000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,16,0.95043,24794.8,40.331,40.264,42.289,160000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,17,0.95031,24032.5,41.6103,41.515,43.679,170000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,18,0.95025,23207.9,43.0888,42.998,45.135,180000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,19,0.95023,22645.1,44.1597,44.076,46.313,190000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,Ours_RaBitQ_K1,L2,10,4,2585,2440.61,3276.45,889247,0,889247,rerank_candidates,20,0.9502,22026.3,45.4003,45.301,47.542,200000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
