suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,10,1,6915.24,144.608,128.706,228.736,100000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,11,0.96748,6904.95,144.824,143.129,148.988,110000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,12,0.9591,4752.59,210.411,210.721,218.669,120000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,13,0.95612,4451.28,224.655,225.367,231.619,130000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,14,0.955,4033.99,247.894,247.235,260.319,140000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,15,0.95457,3712.01,269.396,268.273,284.556,150000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,16,0.95433,3485.33,286.917,285.789,304.967,160000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,17,0.9542,3653.08,273.742,293.301,317.494,170000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,18,0.95412,3147.7,317.692,319.143,335.198,180000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,19,0.95411,3091.29,323.49,332.135,355.762,190000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,20,0.9541,2680.02,373.132,368.981,396.832,200000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,21,0.9541,2799.29,357.233,380.985,412.559,210000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,10,1,7224.04,138.427,132.144,196.438,100000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,11,0.96748,7191.52,139.053,138.774,140.815,110000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,22,0.9541,3523.35,283.821,283.278,288.844,220000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,12,0.9591,6601.29,151.485,151.197,153.29,120000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,13,0.95612,6051.74,165.242,164.683,167.746,130000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,23,0.9541,3426.62,291.833,290.784,295.78,230000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,14,0.955,5630.88,177.592,177.393,180.479,140000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,15,0.95457,5150.34,194.162,192.693,200.332,150000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,24,0.9541,3256.5,307.078,305.454,314.751,240000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,16,0.95433,4820.96,207.427,206.272,213.244,160000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,25,0.9541,3125.67,319.931,318.922,325.416,250000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,17,0.9542,4635.03,215.748,214.782,221.013,170000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,18,0.95412,4384.71,228.065,227.561,231.913,180000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,26,0.9541,3047.57,328.13,327.462,332.463,260000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,19,0.95411,4124.88,242.431,240.946,249.824,190000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,27,0.9541,2903.66,344.393,342.739,352.264,270000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,20,0.9541,3795.85,263.446,259.495,283.157,200000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,28,0.9541,2804.04,356.629,355.373,362.761,280000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,21,0.9541,3591.95,278.4,275.712,296.717,210000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,22,0.9541,3580.29,279.307,277.669,286.69,220000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,29,0.9541,2739.38,365.045,364.355,369.446,290000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,23,0.9541,3403.7,293.798,292.532,300.245,230000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,30,0.9541,2632.71,379.837,378.015,388.435,300000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,24,0.9541,3261.22,306.634,305.423,313.995,240000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1575.37,70210.6,59560.4,10650.2,rerank_candidates,40,0.9541,1963.31,509.343,508.456,517.663,400000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,PQ_4bit,L2,10,4,768,725.191,1577.4,63310.6,56058.7,7251.94,rerank_candidates,25,0.9541,3168.26,315.631,313.964,323.855,250000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
