suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,50,0.99054,2995.3,333.856,271.558,349.65,500000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,10,1,7182.86,139.22,55.848,76.717,100000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,11,0.99128,6987.14,143.12,61.091,83.55,110000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,12,0.99061,6764.35,147.834,65.856,91.096,120000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,60,0.99054,2576.55,388.116,328.42,419.269,600000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,13,0.99055,6499.69,153.854,71.236,98.19,130000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,14,0.99054,6335.02,157.853,77.184,105.644,140000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,15,0.99054,6165.19,162.201,82.049,112.822,150000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,70,0.99054,2263.43,441.808,386.373,487.887,700000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,16,0.99054,5939.46,168.365,87.584,119.752,160000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,17,0.99054,5803.86,172.299,93.395,127.015,170000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,18,0.99054,5655.43,176.821,98.869,134.162,180000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,80,0.99054,2013.82,496.57,444.451,557.07,800000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,19,0.99054,5465.53,182.965,104.07,141.378,190000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,dbpedia,SAQ_B4,L2,10,4,768,851.459,0,0,0,0,fixed_candidates_k,20,0.99054,5358.58,186.617,109.115,148.187,200000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
