suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,40,0.93929,3627.34,275.684,274.82,285.975,400000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,50,0.93929,2780.2,359.687,343.827,393.975,500000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,10,1,10556.9,94.725,85.07,168.302,100000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,11,0.96054,12655.5,79.0168,78.563,83.518,110000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,12,0.94885,11569.1,86.4374,85.942,91.099,120000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,60,0.93929,2006.62,498.351,413.999,771.25,600000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,13,0.94397,10383.7,96.3044,93.967,105.208,130000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,14,0.94155,9679.3,103.313,102.152,109.981,140000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,15,0.94053,8306.07,120.394,114.183,143.251,150000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,16,0.93992,8260.3,121.061,118.457,135.533,160000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,70,0.93929,2061.92,484.985,482.398,498.775,700000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,17,0.9396,8392.24,119.158,118.232,124.644,170000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,18,0.9395,7581.23,131.905,130.033,142.504,180000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,19,0.93943,6181.15,161.782,154.081,197.794,190000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,20,0.93936,5350.46,186.9,182.847,209.693,200000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,80,0.93929,1818.68,549.849,546.246,564.439,800000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,21,0.93933,6338.5,157.766,153.759,175.888,210000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,22,0.93932,6390.38,156.485,155.805,161.391,220000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,23,0.9393,6055.79,165.131,163.747,171.494,230000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,24,0.9393,5959.8,167.791,167.598,173.341,240000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,90,0.93929,1605.66,622.795,619.193,641.094,900000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,25,0.9393,5816.39,171.928,172.282,175.52,250000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,26,0.93929,5623.1,177.838,177.985,181.239,260000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,27,0.93929,5285.12,189.21,188.393,196.089,270000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,100,0.93929,1458.88,685.46,681.634,701.154,1e+06,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,28,0.93929,5074.42,197.067,196.431,203.061,280000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,29,0.93929,4869.05,205.379,204.356,213.641,290000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,30,0.93929,4768.91,209.691,208.864,214.873,300000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,40,0.93929,3608.12,277.153,277.078,282.614,400000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,140,0.93929,1040.01,961.531,957.184,990.493,1.4e+06,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,50,0.93929,2908.07,343.871,344.44,349.593,500000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,60,0.93929,2408.29,415.233,414.234,427.147,600000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,70,0.93929,2044.4,489.141,488.343,502.217,700000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,180,0.93929,820.103,1219.36,1213.72,1250.15,1.8e+06,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,80,0.93929,1774.92,563.407,560.431,583.249,800000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.32,6856.55,309.184,6547.37,rerank_candidates,90,0.93929,1600.26,624.899,623.964,635.531,900000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,dbpedia,SQ_4bit,L2,10,4,768,725.109,1864.18,11268.4,334.662,10933.8,rerank_candidates,220,0.93929,671.302,1489.64,1480.6,1536.64,2.2e+06,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
