suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,10,1,13613.9,73.4542,50.796,58.163,10000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,11,0.9855,13006.5,76.8845,53.877,60.226,11000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,12,0.9837,9801.37,102.027,58.066,64.785,12000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,13,0.9835,11641.6,85.899,62.675,69.938,13000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,14,0.9835,11080.8,90.2466,67.218,74.537,14000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,420,0.983,483.209,2069.5,2029.94,2145.86,420000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,15,0.9834,10510.8,95.1405,71.918,79.434,15000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,16,0.9835,9975.01,100.251,76.891,85.043,16000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,17,0.9835,9521.33,105.027,81.399,90.212,17000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
01_quantizer_fair,gist,SAQ_B4,L2,10,4,480,570.186,0,0,0,0,fixed_candidates_k,18,0.9835,9098.05,109.914,86.394,95.33,18000,1,0,9832544d6b0bd1800f95c9073bc0d4c256d5b107
