suite,dataset,method,metric,k,nominal_bpd,actual_bytes_per_vector,index_size_mb,peak_rss_mb,build_time_ms,train_time_ms,encode_time_ms,search_param_name,search_param_value,recall,qps,latency_mean_us,latency_p50_us,latency_p95_us,distance_calls,threads,repeat_id,git_commit
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,10,1,11975.8,83.5018,83.31,87.746,10000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,11,0.929,11091.1,90.1623,90.08,92.324,11000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,12,0.8825,17533.9,57.0325,49.612,96.174,12000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,13,0.8501,18673.2,53.5527,53.433,54.155,13000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.645,3199.44,306.606,2892.83,rerank_candidates,460,0.6742,296.464,3373.09,3732.14,3792.79,460000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,14,0.8263,17360.1,57.6033,57.465,58.175,14000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,15,0.8064,16221.6,61.6462,61.505,62.232,15000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,16,0.7932,15216.8,65.717,65.559,66.256,16000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,17,0.7791,14321.9,69.8232,69.68,70.412,17000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,18,0.7682,13527,73.9263,73.777,74.522,18000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,19,0.7603,12811.3,78.0558,77.894,78.721,19000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,20,0.7546,12167.9,82.1832,82,82.828,20000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,21,0.7482,11588.1,86.2953,86.106,86.927,21000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,22,0.7432,11058,90.4325,90.254,91.161,22000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,23,0.7381,10574.1,94.571,94.379,95.46,23000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,24,0.7343,10125.2,98.7632,98.581,99.616,24000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,25,0.7311,9714.42,102.94,102.758,103.922,25000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,26,0.7286,9334.13,107.134,106.973,108.218,26000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,27,0.7256,8971,111.47,111.24,112.629,27000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,28,0.7231,8649.67,115.611,115.404,116.772,28000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,29,0.7203,8353.47,119.711,119.517,120.878,29000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
01_quantizer_fair,gist,SQ_4bit,L2,10,4,480,457.771,637.082,1570.11,192.816,1377.3,rerank_candidates,30,0.7177,8076.6,123.814,123.592,125.166,30000,1,0,a424dcb809fd725c44dd976d9063febd4837d16a
