dataset,method,search_param_name,search_param_value,recall_at_10,qps,latency_mean_us,latency_p95_us,source_log
agnews,DiskANN-PQ-4bit,efSearch,10,0.927875,606.771457,1614.266196,1928.230000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,11,0.933875,590.144445,1677.602376,2007.532000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,12,0.936875,597.801837,1655.912631,1933.805000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,13,0.938125,543.043783,1824.686212,2459.246000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,14,0.939625,580.106712,1706.985444,1997.477000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,15,0.943125,547.326034,1809.711714,2265.257000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,16,0.944875,558.419252,1773.881896,2097.495000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,17,0.946250,550.947136,1798.232534,2128.183000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,18,0.949375,540.748215,1832.410148,2158.771000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,19,0.950000,531.700788,1864.069242,2227.659000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,20,0.951500,522.990378,1895.361114,2241.074000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,21,0.952500,513.477745,1930.778065,2306.211000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,22,0.953625,505.700215,1960.506632,2338.001000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,23,0.954125,494.402913,2004.937017,2413.933000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,24,0.955000,493.074385,2011.380437,2407.325000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,25,0.955500,485.790809,2041.811840,2455.857000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,26,0.955750,478.871283,2071.461027,2488.539000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,27,0.956750,471.324786,2103.494899,2557.887000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,28,0.959000,464.358041,2136.676265,2582.291000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,29,0.959000,458.280744,2165.154131,2628.389000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,30,0.959125,452.152920,2194.727843,2664.503000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,40,0.961375,396.585550,2503.468203,3089.306000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,50,0.963000,356.973078,2784.451655,3499.815000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,60,0.963500,324.434870,3063.932506,3861.820000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,70,0.964125,297.850420,3340.529464,4278.297000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,80,0.964375,276.191422,3603.568850,4697.637000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,90,0.964625,257.584976,3863.967997,5085.223000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,100,0.964750,241.710110,4120.255655,5468.848000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,140,0.965125,193.848236,5140.539920,7031.326000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,180,0.965250,164.108493,6075.436191,8514.664000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,220,0.965250,143.013549,6974.321905,9916.972000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,260,0.965250,126.433220,7890.945574,11310.968000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,300,0.965375,113.692978,8777.476706,12677.130000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,340,0.965375,103.736493,9621.513555,14025.739000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,380,0.965375,95.414697,10461.747284,15152.106000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,420,0.965375,87.376218,11427.699763,16761.407000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,460,0.965375,82.220450,12144.809556,18051.962000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,10,0.927875,560.180618,1750.056459,2694.197000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,11,0.933875,571.875000,1731.679920,2186.162000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,12,0.936875,595.007409,1663.736795,1967.053000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,13,0.938125,576.478426,1717.538551,2019.656000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,14,0.939625,569.750037,1738.384730,2047.421000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,15,0.943125,558.199663,1774.651261,2104.588000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
agnews,DiskANN-PQ-4bit,efSearch,16,0.944875,545.198814,1816.271701,2143.303000,results/round2/agnews/raw/02_diskann_fair/PQ/agnews_PQ_R64_Lbuild400.log
