dataset,method,search_param_name,search_param_value,recall_at_10,qps,latency_mean_us,latency_p95_us,source_log
dbpedia,DiskANN-PQ-4bit,efSearch,10,0.897933,371.998860,2645.129262,3154.432000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,11,0.904822,356.602715,2780.404684,3442.305000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,12,0.910333,358.599505,2764.652350,3305.145000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,13,0.914467,353.122856,2807.507119,3362.429000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,14,0.918700,346.947692,2856.813571,3406.468000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,15,0.922222,340.041643,2915.427403,3480.533000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,16,0.925567,333.053256,2977.683303,3560.084000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,17,0.927722,326.847415,3033.989827,3627.957000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,18,0.929767,320.306531,3096.432227,3702.186000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,19,0.932022,314.740592,3152.406449,3777.112000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,20,0.934056,309.152371,3209.088843,3847.534000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,21,0.935822,303.739380,3266.712458,3926.895000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,22,0.937200,298.914829,3319.871953,3979.815000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,23,0.938756,293.815797,3377.906884,4063.936000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,24,0.940311,289.240616,3432.518134,4127.630000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,25,0.941211,284.790508,3485.853510,4200.006000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,26,0.942322,279.584386,3551.750762,4275.320000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,27,0.943333,274.172886,3623.415638,4409.168000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,28,0.944233,272.393593,3646.558747,4431.981000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,29,0.945211,271.243423,3662.772804,4446.210000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,30,0.945967,267.633785,3711.816474,4502.604000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,40,0.952544,234.939289,4231.707477,5211.029000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,50,0.955756,210.851370,4718.067150,5903.025000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,60,0.957978,191.466645,5197.446817,6588.476000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,70,0.958778,175.401971,5676.668951,7296.583000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,80,0.959722,162.039046,6146.046292,8013.802000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,90,0.960367,151.697045,6566.776489,8611.604000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,100,0.960944,142.159458,7009.009166,9331.745000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,140,0.962156,114.978452,8671.996216,11823.481000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,180,0.962756,97.271789,10254.352598,14262.809000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,220,0.963022,84.796701,11766.802462,16583.707000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,260,0.963389,75.304137,13253.174131,18830.419000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,300,0.963622,67.881807,14706.738766,21057.813000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,340,0.963733,62.173015,16058.895382,23073.192000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,380,0.963889,57.289662,17429.761943,25160.598000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,420,0.964089,53.032607,18830.114801,27285.469000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,460,0.964222,49.700790,20094.242972,29134.353000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,10,0.897933,353.120813,2782.554536,3362.865000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,11,0.904822,352.944325,2808.680859,3371.764000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,12,0.910333,346.046076,2863.250355,3442.753000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,13,0.914467,338.688096,2926.083047,3513.655000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,14,0.918700,331.724496,2988.295491,3587.043000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,15,0.922222,324.852398,3052.011197,3668.173000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,16,0.925567,318.287943,3115.467669,3741.677000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,17,0.927722,312.149635,3176.535936,3807.024000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,18,0.929767,306.856554,3232.635693,3884.499000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,19,0.932022,295.967460,3354.727642,4089.450000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,20,0.934056,295.621184,3357.913318,4108.952000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,21,0.935822,303.885421,3266.092123,3927.186000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,22,0.937200,298.802727,3321.177313,3983.749000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,23,0.938756,293.862618,3377.468898,4050.633000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,24,0.940311,289.129566,3434.054638,4135.872000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,25,0.941211,284.659373,3487.582670,4204.855000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,26,0.942322,280.083406,3544.969370,4268.134000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,27,0.943333,276.067640,3596.844500,4338.551000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,28,0.944233,272.180503,3648.685153,4417.729000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,29,0.945211,268.034896,3705.398624,4488.441000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
dbpedia,DiskANN-PQ-4bit,efSearch,30,0.945967,264.393656,3757.705232,4566.043000,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log
