suite,dataset,method,status,graph_build_distance,graph_build_mode,shared_graph_build_time_ms,metric,k,nominal_bpd,actual_bytes_per_vector,codebook_bytes,index_size_mb,index_bytes,auxiliary_bytes,residual_bytes,fp32_base_bytes,peak_rss_mb,build_time_ms,graph_build_time_ms,train_time_ms,encode_time_ms,max_degree,build_beam,alpha,search_param_name,search_param_value,search_beam_width,recall,qps,latency_mean_us,latency_p95_us,prepare_us,traverse_us,rerank_us,neighbor_fetch_us,visited_mark_us,paper_batch_us,flush_us,visited_nodes,distance_calls,mean_relative_error,p95_relative_error,mean_absolute_error,top10_overlap,pairwise_flip_rate_top10,payload_bytes_read,avg_bits_read,refine_calls,threads,repeat_id,seed,log_path,note
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,10,1,0.897933,371.998860,2645.129262,3154.432000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005398,0.013590,0.001257,0.897933,0.034798,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,11,1,0.904822,356.602715,2780.404684,3442.305000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005399,0.013591,0.001257,0.904822,0.034726,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,12,1,0.910333,358.599505,2764.652350,3305.145000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005401,0.013600,0.001257,0.910333,0.034664,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,13,1,0.914467,353.122856,2807.507119,3362.429000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005402,0.013602,0.001256,0.914467,0.034753,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,14,1,0.918700,346.947692,2856.813571,3406.468000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005404,0.013602,0.001257,0.918700,0.034756,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,15,1,0.922222,340.041643,2915.427403,3480.533000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005406,0.013603,0.001257,0.922222,0.034731,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,16,1,0.925567,333.053256,2977.683303,3560.084000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005406,0.013603,0.001256,0.925567,0.034835,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,17,1,0.927722,326.847415,3033.989827,3627.957000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005406,0.013602,0.001256,0.927722,0.034812,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,18,1,0.929767,320.306531,3096.432227,3702.186000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005406,0.013603,0.001256,0.929767,0.034864,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,19,1,0.932022,314.740592,3152.406449,3777.112000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005407,0.013608,0.001256,0.932022,0.034862,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,20,1,0.934056,309.152371,3209.088843,3847.534000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005405,0.013610,0.001255,0.934056,0.034827,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
02_diskann_fair,dbpedia,PQ,done,PQ_quantized,built_in_run,,L2,10,4,768.000000,1572864,968.297119,1015333120,0,0,0,12879.414062,3123570.160578,2834773.572828,288785.960102,0.000000,64,400,1.2,efSearch,21,1,0.935822,303.739380,3266.712458,3926.895000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005406,0.013610,0.001255,0.935822,0.034807,NaN,NaN,0,64,aggregate,20260813,results/round2/dbpedia/raw/02_diskann_fair/PQ/dbpedia_PQ_R64_Lbuild400.log,"DiskANN FixedChunkPQTable with num_pq_chunks=D/2: graph build AND search use the 4bit-equivalent PQ payload (Quantized strategy, NoStore primary, per-method graph)."
