dataset,method,search_param_name,search_param_value,recall_at_10,qps,latency_mean_us,latency_p95_us,source_log
gist,DiskANN-PQ-4bit,efSearch,10,0.652625,555.371870,1767.328764,2094.368000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,11,0.669750,541.789770,1828.762800,2189.565000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,12,0.682625,525.295310,1886.691903,2260.907000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,13,0.690125,510.202001,1943.247322,2297.610000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,14,0.701125,501.606595,1976.747880,2363.597000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,15,0.712625,493.616784,2009.207821,2391.605000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,16,0.722625,486.985214,2036.593109,2421.163000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,17,0.734375,488.258069,2031.353813,2401.702000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,18,0.743625,473.692114,2094.368209,2486.889000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,19,0.753375,453.679783,2187.403811,2581.349000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,20,0.758750,445.118560,2230.018758,2619.294000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
gist,DiskANN-PQ-4bit,efSearch,21,0.767750,435.726530,2278.364265,2680.895000,results/round2/gist/raw/02_diskann_fair/PQ/gist_PQ_R64_Lbuild400.log
